temperature,date
16.22,2025-01-09 13:51:09.270170+00:00
16.17,2025-01-09 13:53:40.589833+00:00
16.15,2025-01-09 14:06:16.814326+00:00
16.13,2025-01-09 14:20:02.829270+00:00
16.11,2025-01-09 14:27:36.256513+00:00
16.13,2025-01-09 14:35:09.727130+00:00
16.11,2025-01-09 14:47:35.142205+00:00
16.08,2025-01-09 14:53:27.861700+00:00
16.01,2025-01-09 15:13:27.087007+00:00
16.05,2025-01-09 15:20:30.268179+00:00
16.04,2025-01-09 15:31:55.348464+00:00
15.99,2025-01-09 15:45:01.108903+00:00
16,2025-01-09 15:53:05.255235+00:00
15.96,2025-01-09 16:05:40.833926+00:00
15.93,2025-01-09 16:20:37.392451+00:00
15.9,2025-01-09 16:34:33.524292+00:00
15.89,2025-01-09 16:45:08.228896+00:00
15.86,2025-01-09 17:07:48.732382+00:00
15.83,2025-01-09 17:22:05.075991+00:00
15.77,2025-01-09 17:36:01.211961+00:00
15.79,2025-01-09 17:57:31.272566+00:00
unavailable,2025-01-09 18:09:33.507051+00:00
15.79,2025-01-09 18:10:22.091083+00:00
15.73,2025-01-09 18:17:40.027666+00:00
15.79,2025-01-09 18:31:05.939593+00:00
15.8,2025-01-09 18:32:37.276632+00:00
16.07,2025-01-09 18:51:05.431600+00:00
16.3,2025-01-09 19:03:30.974196+00:00
unavailable,2025-01-09 19:05:29.254020+00:00
16.3,2025-01-09 19:06:16.010961+00:00
unavailable,2025-01-09 19:16:00.957917+00:00
16.3,2025-01-09 19:16:44.118031+00:00
16.65,2025-01-09 19:18:47.554747+00:00
16.91,2025-01-09 19:30:42.713186+00:00
16.94,2025-01-09 19:34:45.058701+00:00
17.14,2025-01-09 19:53:43.051203+00:00
17.17,2025-01-09 20:17:02.736022+00:00
17.11,2025-01-09 20:22:05.036753+00:00
16.99,2025-01-09 20:50:57.457378+00:00
16.87,2025-01-09 21:22:30.552346+00:00
16.79,2025-01-09 21:26:53.020391+00:00
16.66,2025-01-09 21:55:45.019048+00:00
16.52,2025-01-09 22:21:25.881546+00:00
16.87,2025-01-09 23:03:13.670031+00:00
17.05,2025-01-09 23:14:48.565986+00:00
17.06,2025-01-09 23:21:31.966068+00:00
17.07,2025-01-09 23:32:46.829140+00:00
16.86,2025-01-10 00:13:43.596844+00:00
16.55,2025-01-10 00:47:18.005051+00:00
16.4,2025-01-10 01:12:58.790333+00:00
16.41,2025-01-10 01:15:20.463962+00:00
16.31,2025-01-10 01:25:24.884105+00:00
16.05,2025-01-10 02:03:51.178982+00:00
16.03,2025-01-10 02:16:37.326296+00:00
15.82,2025-01-10 03:03:27.149884+00:00
15.8,2025-01-10 03:07:19.467994+00:00
15.63,2025-01-10 04:01:12.605391+00:00
15.62,2025-01-10 04:06:45.632741+00:00
15.57,2025-01-10 04:19:31.317645+00:00
15.48,2025-01-10 04:42:21.339988+00:00
15.45,2025-01-10 05:01:40.603604+00:00
15.34,2025-01-10 05:30:13.062230+00:00
15.38,2025-01-10 05:36:15.935850+00:00
15.36,2025-01-10 05:46:30.607872+00:00
15.38,2025-01-10 05:48:22.064543+00:00
15.29,2025-01-10 06:09:31.400008+00:00
15.24,2025-01-10 06:22:27.205666+00:00
15.21,2025-01-10 06:37:54.066877+00:00
15.12,2025-01-10 07:15:00.621184+00:00
15.11,2025-01-10 07:30:07.416390+00:00
15.14,2025-01-10 07:32:39.234918+00:00
15.08,2025-01-10 07:44:44.774313+00:00
15.59,2025-01-10 08:21:30.836105+00:00
15.57,2025-01-10 08:25:02.569015+00:00
16.04,2025-01-10 08:45:31.940515+00:00
16.07,2025-01-10 08:50:04.160587+00:00
16.58,2025-01-10 09:11:03.189617+00:00
16.68,2025-01-10 09:19:16.907162+00:00
17.14,2025-01-10 09:34:43.899797+00:00
17.21,2025-01-10 09:41:26.892144+00:00
17.31,2025-01-10 09:50:10.712152+00:00
17.36,2025-01-10 10:04:46.799569+00:00
17.41,2025-01-10 10:13:50.638483+00:00
17.33,2025-01-10 10:35:40.208914+00:00
17.21,2025-01-10 10:49:26.010409+00:00
17.13,2025-01-10 11:10:14.652250+00:00
17.14,2025-01-10 11:10:35.079116+00:00
17.1,2025-01-10 11:20:29.784259+00:00
16.9,2025-01-10 11:49:41.920224+00:00
16.89,2025-01-10 11:57:45.495964+00:00
16.85,2025-01-10 12:01:57.533171+00:00
16.7,2025-01-10 12:29:59.493612+00:00
16.8,2025-01-10 12:47:57.187180+00:00
16.89,2025-01-10 12:54:50.252694+00:00
16.87,2025-01-10 13:01:53.771948+00:00
16.9,2025-01-10 13:06:46.012561+00:00
16.85,2025-01-10 13:19:51.643718+00:00
16.79,2025-01-10 13:43:01.462368+00:00
