temperature,date
16.57,2025-01-09 13:51:26.091109+00:00
16.54,2025-01-09 13:57:18.539065+00:00
16.57,2025-01-09 14:05:41.925684+00:00
16.52,2025-01-09 14:18:06.795870+00:00
16.51,2025-01-09 14:18:27.617131+00:00
16.47,2025-01-09 14:28:01.477582+00:00
16.44,2025-01-09 14:37:15.202467+00:00
16.41,2025-01-09 14:45:48.671783+00:00
16.46,2025-01-09 14:59:13.920358+00:00
16.4,2025-01-09 15:06:36.917070+00:00
16.31,2025-01-09 15:17:01.131193+00:00
16.34,2025-01-09 15:18:02.254352+00:00
16.27,2025-01-09 15:24:24.907976+00:00
16.26,2025-01-09 15:43:02.174657+00:00
16.15,2025-01-09 15:59:18.527225+00:00
16.16,2025-01-09 16:07:21.807999+00:00
16.09,2025-01-09 16:23:38.969356+00:00
16.05,2025-01-09 16:39:25.107646+00:00
15.99,2025-01-09 16:52:00.135540+00:00
15.93,2025-01-09 17:27:54.916368+00:00
15.88,2025-01-09 17:44:41.572532+00:00
15.85,2025-01-09 17:58:47.174549+00:00
unavailable,2025-01-09 18:09:33.531440+00:00
15.85,2025-01-09 18:10:22.107388+00:00
16.12,2025-01-09 18:26:58.802495+00:00
16.33,2025-01-09 18:34:21.829293+00:00
16.47,2025-01-09 18:38:43.738267+00:00
16.59,2025-01-09 18:42:05.265936+00:00
17.11,2025-01-09 18:52:39.480954+00:00
17.2,2025-01-09 18:54:50.541408+00:00
17.41,2025-01-09 18:58:52.727537+00:00
unavailable,2025-01-09 19:05:29.271533+00:00
17.41,2025-01-09 19:06:16.024475+00:00
17.93,2025-01-09 19:07:46.301187+00:00
unavailable,2025-01-09 19:16:00.969392+00:00
17.93,2025-01-09 19:16:44.132455+00:00
18.5,2025-01-09 19:17:40.200160+00:00
18.85,2025-01-09 19:25:33.316609+00:00
19.35,2025-01-09 19:39:38.559941+00:00
19.38,2025-01-09 19:46:21.150197+00:00
19.37,2025-01-09 19:57:45.857846+00:00
19.25,2025-01-09 20:17:02.863074+00:00
18.92,2025-01-09 20:45:23.015488+00:00
18.86,2025-01-09 20:51:45.933369+00:00
18.41,2025-01-09 21:21:46.836932+00:00
18.28,2025-01-09 21:34:51.772678+00:00
18.23,2025-01-09 21:37:43.068008+00:00
17.97,2025-01-09 22:02:32.660116+00:00
17.93,2025-01-09 22:05:03.836403+00:00
17.99,2025-01-09 22:35:25.033302+00:00
18.23,2025-01-09 22:56:33.297718+00:00
18.73,2025-01-09 23:15:30.362222+00:00
18.85,2025-01-09 23:31:26.254039+00:00
18.83,2025-01-09 23:41:30.538278+00:00
18.3,2025-01-10 00:17:33.572938+00:00
18.18,2025-01-10 00:27:07.258094+00:00
17.79,2025-01-10 00:50:16.291640+00:00
17.6,2025-01-10 01:04:01.529497+00:00
17.26,2025-01-10 01:22:48.677862+00:00
17.3,2025-01-10 01:23:29.181264+00:00
16.74,2025-01-10 02:01:33.938198+00:00
16.65,2025-01-10 02:15:09.231965+00:00
16.51,2025-01-10 02:24:53.596105+00:00
16.3,2025-01-10 02:48:02.497107+00:00
16.1,2025-01-10 03:07:40.149740+00:00
16.12,2025-01-10 03:11:41.897836+00:00
15.93,2025-01-10 03:33:50.949904+00:00
15.87,2025-01-10 03:43:04.704034+00:00
15.73,2025-01-10 03:55:49.806350+00:00
15.66,2025-01-10 04:10:45.775363+00:00
15.34,2025-01-10 05:06:07.570186+00:00
15.19,2025-01-10 05:19:23.365823+00:00
15.1,2025-01-10 06:00:39.493753+00:00
15.06,2025-01-10 06:04:01.513004+00:00
15.03,2025-01-10 06:11:34.704753+00:00
14.96,2025-01-10 06:22:19.111136+00:00
14.84,2025-01-10 07:01:04.349385+00:00
14.81,2025-01-10 07:14:30.276012+00:00
14.77,2025-01-10 07:30:56.912565+00:00
14.88,2025-01-10 07:45:42.911802+00:00
14.96,2025-01-10 07:52:35.826094+00:00
15.02,2025-01-10 07:53:36.959015+00:00
15.14,2025-01-10 07:57:58.910458+00:00
15.66,2025-01-10 08:14:15.447310+00:00
16.19,2025-01-10 08:27:40.808521+00:00
16.69,2025-01-10 08:40:15.827081+00:00
16.99,2025-01-10 08:48:49.285491+00:00
17.21,2025-01-10 08:53:11.600418+00:00
17.72,2025-01-10 09:06:16.686064+00:00
18.23,2025-01-10 09:19:21.731233+00:00
18.73,2025-01-10 09:33:37.124355+00:00
18.9,2025-01-10 09:40:19.747345+00:00
19.02,2025-01-10 09:46:42.270007+00:00
19.07,2025-01-10 09:49:54.117782+00:00
19.14,2025-01-10 10:03:29.117851+00:00
18.89,2025-01-10 10:35:20.601820+00:00
18.85,2025-01-10 10:45:14.325557+00:00
18.79,2025-01-10 10:49:06.404071+00:00
18.28,2025-01-10 11:32:32.027133+00:00
18.22,2025-01-10 11:41:45.606817+00:00
18.08,2025-01-10 11:48:28.748339+00:00
18.01,2025-01-10 11:59:12.844037+00:00
17.79,2025-01-10 12:28:33.741516+00:00
17.95,2025-01-10 12:40:08.192215+00:00
18.01,2025-01-10 12:43:20.083135+00:00
18.1,2025-01-10 12:50:12.836125+00:00
18.24,2025-01-10 13:00:57.016251+00:00
18.3,2025-01-10 13:07:59.817971+00:00
18.4,2025-01-10 13:19:54.344759+00:00
18.38,2025-01-10 13:38:21.165565+00:00
