temperature,date
15.09,2025-01-03 03:52:08.062015+00:00
14.81,2025-01-03 04:40:47.147545+00:00
14.79,2025-01-03 04:44:38.857979+00:00
14.58,2025-01-03 05:30:47.094915+00:00
14.56,2025-01-03 05:40:51.235096+00:00
14.5,2025-01-03 05:48:44.971889+00:00
14.51,2025-01-03 05:53:06.902580+00:00
14.27,2025-01-03 06:40:15.179408+00:00
14.19,2025-01-03 06:58:53.072191+00:00
14.11,2025-01-03 07:25:23.853642+00:00
14.05,2025-01-03 07:57:37.268952+00:00
14.08,2025-01-03 08:12:43.335259+00:00
14.47,2025-01-03 08:29:09.973364+00:00
14.58,2025-01-03 08:31:31.587037+00:00
15.09,2025-01-03 08:45:06.986663+00:00
15.62,2025-01-03 08:56:11.430129+00:00
16.15,2025-01-03 09:07:35.932871+00:00
16.65,2025-01-03 09:17:19.802226+00:00
16.86,2025-01-03 09:22:52.080944+00:00
17.17,2025-01-03 09:28:24.764923+00:00
17.69,2025-01-03 09:38:38.763231+00:00
18.22,2025-01-03 09:49:12.779985+00:00
18.76,2025-01-03 10:02:28.938450+00:00
19.17,2025-01-03 10:22:44.914061+00:00
19.17,2025-01-03 10:35:00.020822+00:00
19.27,2025-01-03 10:43:42.838442+00:00
19.27,2025-01-03 10:55:42.833779+00:00
19.82,2025-01-03 11:09:01.747002+00:00
20.32,2025-01-03 11:11:52.996188+00:00
20.32,2025-01-03 11:14:15.947242+00:00
20.82,2025-01-03 11:14:34.158305+00:00
20.83,2025-01-03 11:15:16.416124+00:00
21.34,2025-01-03 11:25:38.803015+00:00
21.84,2025-01-03 11:28:09.887908+00:00
21.84,2025-01-03 11:34:20.992565+00:00
21.34,2025-01-03 11:34:52.293082+00:00
20.82,2025-01-03 11:43:15.287294+00:00
20.31,2025-01-03 11:54:49.316746+00:00
20.11,2025-01-03 12:05:23.145026+00:00
19.8,2025-01-03 12:16:17.501050+00:00
19.52,2025-01-03 12:32:23.213469+00:00
19.02,2025-01-03 12:54:31.039412+00:00
18.94,2025-01-03 12:57:22.292052+00:00
18.66,2025-01-03 13:13:38.606135+00:00
18.23,2025-01-03 13:57:14.028409+00:00
18.26,2025-01-03 13:57:44.929933+00:00
18.26,2025-01-03 14:19:52.411863+00:00
18.26,2025-01-03 14:28:59.124066+00:00
18.26,2025-01-03 14:35:45.054986+00:00
18.26,2025-01-03 14:37:38.444216+00:00
18.26,2025-01-03 14:44:08.890340+00:00
17.81,2025-01-03 14:50:33.785019+00:00
17.75,2025-01-03 14:50:44.531106+00:00
17.82,2025-01-03 15:07:50.861144+00:00
18.22,2025-01-03 15:42:23.236405+00:00
18.1,2025-01-03 16:03:31.265868+00:00
17.97,2025-01-03 16:34:52.481930+00:00
17.86,2025-01-03 16:46:07.145810+00:00
18.38,2025-01-03 17:15:57.940205+00:00
18.86,2025-01-03 17:32:23.991427+00:00
18.89,2025-01-03 17:33:45.155370+00:00
18.89,2025-01-03 17:44:20.997347+00:00
19.17,2025-01-03 18:03:55.777667+00:00
19.06,2025-01-03 18:31:45.598224+00:00
18.65,2025-01-03 18:52:23.412652+00:00
18.14,2025-01-03 19:20:43.523436+00:00
18.11,2025-01-03 19:25:15.355759+00:00
17.64,2025-01-03 19:47:03.760910+00:00
17.27,2025-01-03 20:11:12.572661+00:00
17.11,2025-01-03 20:17:14.973963+00:00
16.75,2025-01-03 20:38:53.476463+00:00
16.39,2025-01-03 21:15:57.278442+00:00
16.24,2025-01-03 21:22:00.220179+00:00
15.79,2025-01-03 22:13:29.467787+00:00
15.73,2025-01-03 22:14:10.409864+00:00
15.37,2025-01-03 23:12:02.211312+00:00
15.22,2025-01-03 23:25:07.775440+00:00
15.03,2025-01-03 23:58:40.720037+00:00
15.07,2025-01-04 00:08:14.613705+00:00
15.2,2025-01-04 00:47:10.073381+00:00
15.13,2025-01-04 01:05:47.404772+00:00
15.19,2025-01-04 01:06:58.116413+00:00
14.99,2025-01-04 01:34:49.349458+00:00
14.88,2025-01-04 01:56:37.934491+00:00
14.89,2025-01-04 01:59:39.331862+00:00
14.63,2025-01-04 02:32:22.533095+00:00
14.54,2025-01-04 02:46:18.095101+00:00
14.2,2025-01-04 03:55:45.717681+00:00
14.04,2025-01-04 04:24:37.834752+00:00
13.94,2025-01-04 04:51:38.536129+00:00
13.8,2025-01-04 05:12:57.803453+00:00
13.68,2025-01-04 05:48:11.800358+00:00
13.57,2025-01-04 06:11:51.725721+00:00
13.52,2025-01-04 06:26:07.636918+00:00
13.5,2025-01-04 06:33:20.727394+00:00
13.46,2025-01-04 06:46:06.294307+00:00
13.39,2025-01-04 07:02:13.347731+00:00
13.33,2025-01-04 07:15:28.814950+00:00
13.68,2025-01-04 07:40:59.080307+00:00
13.75,2025-01-04 07:43:20.715551+00:00
13.91,2025-01-04 07:49:23.372145+00:00
14.44,2025-01-04 08:04:09.426276+00:00
14.96,2025-01-04 08:15:03.908413+00:00
15.48,2025-01-04 08:27:48.996716+00:00
15.62,2025-01-04 08:31:10.537762+00:00
15.89,2025-01-04 08:38:33.557215+00:00
16.13,2025-01-04 08:43:46.188135+00:00
16.64,2025-01-04 08:55:10.690737+00:00
16.78,2025-01-04 08:59:32.535185+00:00
17.28,2025-01-04 09:15:08.515087+00:00
17.55,2025-01-04 09:23:51.920322+00:00
17.73,2025-01-04 09:30:04.429419+00:00
17.85,2025-01-04 09:34:56.441525+00:00
17.93,2025-01-04 09:37:17.530801+00:00
18.01,2025-01-04 09:39:39.082498+00:00
18.17,2025-01-04 09:46:41.864619+00:00
18.27,2025-01-04 09:52:44.264612+00:00
18.35,2025-01-04 10:11:41.223380+00:00
18.14,2025-01-04 10:36:10.133808+00:00
18.07,2025-01-04 10:42:13.283614+00:00
17.93,2025-01-04 10:52:17.103931+00:00
18.37,2025-01-04 11:15:45.699550+00:00
18.31,2025-01-04 11:21:37.998104+00:00
18.82,2025-01-04 11:26:30.032361+00:00
18.96,2025-01-04 11:27:50.745873+00:00
18.79,2025-01-04 11:43:16.757129+00:00
18.66,2025-01-04 11:45:57.946546+00:00
18.62,2025-01-04 11:49:09.354834+00:00
18.37,2025-01-04 12:14:08.298981+00:00
18.28,2025-01-04 12:19:00.260377+00:00
18.14,2025-01-04 12:22:22.128994+00:00
17.96,2025-01-04 12:39:18.336745+00:00
17.83,2025-01-04 12:43:09.970982+00:00
17.72,2025-01-04 12:51:03.074369+00:00
17.54,2025-01-04 13:06:59.038561+00:00
17.6,2025-01-04 13:12:21.227172+00:00
17.71,2025-01-04 13:19:24.459407+00:00
18.14,2025-01-04 13:31:59.209404+00:00
18.1,2025-01-04 13:32:29.654503+00:00
18.17,2025-01-04 13:33:20.218911+00:00
18.28,2025-01-04 13:39:22.630495+00:00
18.44,2025-01-04 13:49:06.283216+00:00
18.38,2025-01-04 14:04:52.050903+00:00
18.44,2025-01-04 14:07:33.251561+00:00
18.31,2025-01-04 14:14:56.543828+00:00
18.03,2025-01-04 14:40:35.840476+00:00
17.54,2025-01-04 15:06:55.488655+00:00
17.51,2025-01-04 15:07:26.402877+00:00
17.17,2025-01-04 15:26:33.525502+00:00
16.9,2025-01-04 15:48:51.853987+00:00
16.67,2025-01-04 16:04:07.675108+00:00
16.59,2025-01-04 16:04:58.230229+00:00
16.51,2025-01-04 16:14:32.399873+00:00
16.27,2025-01-04 16:32:39.273101+00:00
16.07,2025-01-04 16:48:45.519103+00:00
15.92,2025-01-04 17:05:21.918576+00:00
15.75,2025-01-04 17:25:20.073078+00:00
15.62,2025-01-04 17:41:06.229086+00:00
15.41,2025-01-04 18:04:15.149171+00:00
15.43,2025-01-04 18:05:56.493490+00:00
15.26,2025-01-04 18:23:03.257270+00:00
15.09,2025-01-04 18:38:59.586304+00:00
14.99,2025-01-04 18:54:25.708470+00:00
14.91,2025-01-04 18:57:27.142025+00:00
14.84,2025-01-04 19:12:03.370094+00:00
14.79,2025-01-04 19:18:16.012418+00:00
14.68,2025-01-04 19:34:12.416879+00:00
14.64,2025-01-04 19:41:55.657372+00:00
14.6,2025-01-04 19:50:49.337001+00:00
14.54,2025-01-04 19:57:42.684319+00:00
14.44,2025-01-04 20:11:18.176355+00:00
14.36,2025-01-04 20:25:13.814004+00:00
14.3,2025-01-04 20:41:50.511644+00:00
14.29,2025-01-04 20:47:12.809819+00:00
14.27,2025-01-04 20:51:35.217798+00:00
14.19,2025-01-04 21:04:10.345829+00:00
14.13,2025-01-04 21:14:24.594575+00:00
14.05,2025-01-04 21:25:59.339917+00:00
14.04,2025-01-04 21:41:45.756130+00:00
13.99,2025-01-04 21:47:08.136964+00:00
13.94,2025-01-04 22:00:34.073790+00:00
13.84,2025-01-04 22:19:31.731719+00:00
13.81,2025-01-04 22:34:58.013946+00:00
13.77,2025-01-04 22:40:30.416268+00:00
13.72,2025-01-04 22:42:52.042215+00:00
13.68,2025-01-04 22:54:06.754052+00:00
