temperature,date
14.04,2025-02-28 11:11:43.979060+00:00
14.12,2025-02-28 11:41:43.795487+00:00
14.13,2025-02-28 12:11:43.593909+00:00
14.19,2025-02-28 12:41:43.316074+00:00
14.21,2025-02-28 13:11:43.038014+00:00
14.24,2025-02-28 13:41:42.759451+00:00
14.23,2025-02-28 14:11:42.630538+00:00
14.19,2025-02-28 14:41:42.346387+00:00
14.16,2025-02-28 15:11:42.243447+00:00
14.12,2025-02-28 15:41:41.927302+00:00
14.06,2025-02-28 16:11:41.698721+00:00
14.0,2025-02-28 16:41:41.381838+00:00
13.98,2025-02-28 17:11:40.942778+00:00
13.94,2025-02-28 17:41:40.768458+00:00
13.89,2025-02-28 18:11:40.706171+00:00
13.81,2025-02-28 18:41:40.437788+00:00
13.75,2025-02-28 19:11:40.145217+00:00
13.69,2025-02-28 19:41:39.822469+00:00
13.65,2025-02-28 20:11:39.621992+00:00
13.58,2025-02-28 20:41:39.297748+00:00
13.5,2025-02-28 21:11:39.096097+00:00
13.44,2025-02-28 21:41:38.780956+00:00
13.35,2025-02-28 22:11:38.587072+00:00
13.3,2025-02-28 22:41:38.404494+00:00
13.23,2025-02-28 23:11:38.265626+00:00
13.17,2025-02-28 23:41:38.026387+00:00
13.09,2025-03-01 00:11:37.901579+00:00
13.02,2025-03-01 00:41:37.693782+00:00
12.97,2025-03-01 01:11:37.533217+00:00
12.89,2025-03-01 01:41:37.384836+00:00
12.86,2025-03-01 02:11:37.130094+00:00
12.81,2025-03-01 02:41:36.936018+00:00
12.88,2025-03-01 03:11:36.661081+00:00
12.94,2025-03-01 03:41:36.361659+00:00
13.03,2025-03-01 04:11:36.168537+00:00
13.12,2025-03-01 04:41:36.005340+00:00
13.2,2025-03-01 05:11:35.717000+00:00
13.27,2025-03-01 05:41:35.503732+00:00
13.37,2025-03-01 06:11:35.118353+00:00
13.41,2025-03-01 06:41:34.910568+00:00
13.44,2025-03-01 07:11:34.763828+00:00
13.5,2025-03-01 07:41:34.480047+00:00
13.52,2025-03-01 08:11:34.201910+00:00
13.53,2025-03-01 08:41:33.998445+00:00
13.54,2025-03-01 09:11:33.818032+00:00
13.56,2025-03-01 10:11:33.302860+00:00
13.59,2025-03-01 10:41:33.060989+00:00
13.61,2025-03-01 11:11:32.810677+00:00
13.64,2025-03-01 11:41:32.513096+00:00
13.72,2025-03-01 12:11:32.295583+00:00
13.77,2025-03-01 12:41:32.030578+00:00
13.87,2025-03-01 13:11:31.834144+00:00
13.94,2025-03-01 13:41:31.641309+00:00
13.95,2025-03-01 14:11:31.297034+00:00
14.02,2025-03-01 14:41:31.062203+00:00
13.99,2025-03-01 15:11:30.861952+00:00
14.03,2025-03-01 15:41:30.633629+00:00
13.99,2025-03-01 16:11:30.295841+00:00
13.91,2025-03-01 16:41:30.062446+00:00
13.78,2025-03-01 17:11:29.860836+00:00
13.65,2025-03-01 17:41:29.501833+00:00
13.54,2025-03-01 18:11:29.249818+00:00
13.41,2025-03-01 18:41:29.074227+00:00
13.31,2025-03-01 19:11:29.005340+00:00
13.25,2025-03-01 19:41:28.768804+00:00
13.17,2025-03-01 20:11:28.411264+00:00
13.05,2025-03-01 20:41:28.138043+00:00
12.95,2025-03-01 21:11:28.006819+00:00
12.87,2025-03-01 21:41:27.796027+00:00
12.81,2025-03-01 22:11:27.560060+00:00
12.83,2025-03-01 23:11:27.082900+00:00
12.86,2025-03-01 23:41:26.911489+00:00
12.92,2025-03-02 00:11:26.683189+00:00
12.98,2025-03-02 00:41:26.417358+00:00
13.08,2025-03-02 01:11:26.262809+00:00
13.21,2025-03-02 01:41:26.095225+00:00
13.31,2025-03-02 02:11:25.959120+00:00
13.41,2025-03-02 02:41:25.807712+00:00
