state,date
off,2025-01-03 09:49:12.783594+00:00
on,2025-01-03 11:38:15.458822+00:00
off,2025-01-03 11:38:17.539608+00:00
on,2025-01-03 14:50:33.795907+00:00
off,2025-01-03 15:12:40.837811+00:00
on,2025-01-03 15:12:42.766021+00:00
off,2025-01-03 15:12:45.107110+00:00
on,2025-01-03 16:34:52.491548+00:00
off,2025-01-03 17:15:57.953564+00:00
on,2025-01-03 23:53:20.670004+00:00
off,2025-01-04 00:00:00.634086+00:00
on,2025-01-04 00:08:14.628713+00:00
off,2025-01-04 00:09:51.474920+00:00
on,2025-01-04 07:04:03.123054+00:00
off,2025-01-04 09:30:38.846050+00:00
on,2025-01-04 11:05:59.898394+00:00
off,2025-01-04 11:15:45.713179+00:00
on,2025-01-04 12:39:18.349587+00:00
off,2025-01-04 13:26:03.039539+00:00
on,2025-01-05 08:10:16.083029+00:00
off,2025-01-05 10:30:11.918108+00:00
on,2025-01-05 17:46:35.963593+00:00
off,2025-01-05 19:10:16.807690+00:00
on,2025-01-06 07:54:32.284307+00:00
off,2025-01-06 07:58:46.803395+00:00
on,2025-01-07 17:50:11.722774+00:00
off,2025-01-07 18:55:21.543456+00:00
on,2025-01-07 22:11:35.448882+00:00
off,2025-01-07 22:39:30.535415+00:00
on,2025-01-08 07:50:03.378776+00:00
off,2025-01-08 10:03:47.483159+00:00
on,2025-01-08 11:24:27.902640+00:00
off,2025-01-08 12:10:39.646719+00:00
on,2025-01-08 12:11:50.338789+00:00
off,2025-01-08 12:13:31.200993+00:00
on,2025-01-08 13:46:58.222887+00:00
off,2025-01-08 14:28:24.552902+00:00
on,2025-01-08 15:51:16.681339+00:00
off,2025-01-08 16:35:34.001735+00:00
on,2025-01-08 18:43:51.999536+00:00
off,2025-01-08 18:44:42.555138+00:00
on,2025-01-08 18:49:55.103446+00:00
off,2025-01-08 19:31:40.131307+00:00
on,2025-01-08 21:50:42.124599+00:00
off,2025-01-08 22:40:10.466394+00:00
on,2025-01-09 17:55:27.826113+00:00
off,2025-01-09 19:17:40.213122+00:00
on,2025-01-09 22:02:32.672737+00:00
off,2025-01-09 22:56:33.309520+00:00
on,2025-01-10 07:24:13.970554+00:00
off,2025-01-10 09:19:21.743556+00:00
on,2025-01-10 12:28:33.752266+00:00
off,2025-01-10 12:43:20.100024+00:00
on,2025-01-10 14:10:51.284545+00:00
off,2025-01-10 15:11:37.787094+00:00
on,2025-01-10 18:10:24.269838+00:00
off,2025-01-10 18:50:30.608178+00:00
on,2025-01-10 18:50:32.390584+00:00
off,2025-01-10 18:50:35.173264+00:00
on,2025-01-11 09:00:06.423270+00:00
off,2025-01-11 11:10:22.629063+00:00
on,2025-01-11 13:07:53.439994+00:00
off,2025-01-11 13:41:36.632519+00:00
on,2025-01-11 15:24:25.369496+00:00
off,2025-01-11 16:20:56.997948+00:00
on,2025-01-12 12:46:17.916958+00:00
off,2025-01-12 14:20:10.817262+00:00
on,2025-01-12 14:27:51.418530+00:00
off,2025-01-12 14:43:09.129966+00:00
on,2025-01-13 07:35:06.692483+00:00
off,2025-01-13 07:47:02.028765+00:00
on,2025-01-13 17:12:37.881653+00:00
off,2025-01-13 19:10:07.006478+00:00
on,2025-01-13 20:47:24.808176+00:00
off,2025-01-13 20:47:28.833810+00:00
on,2025-01-14 03:32:09.339002+00:00
off,2025-01-14 04:19:19.207657+00:00
on,2025-01-14 07:15:31.248258+00:00
off,2025-01-14 07:47:04.851940+00:00
on,2025-01-14 07:53:42.121248+00:00
off,2025-01-14 07:53:44.500994+00:00
on,2025-01-15 07:21:11.365212+00:00
off,2025-01-15 08:48:02.923276+00:00
on,2025-01-15 09:28:14.399213+00:00
off,2025-01-15 11:36:40.154777+00:00
on,2025-01-15 13:03:33.503878+00:00
off,2025-01-15 14:19:52.975195+00:00
on,2025-01-15 16:31:02.513327+00:00
off,2025-01-15 17:34:16.891987+00:00
on,2025-01-16 18:13:38.993710+00:00
off,2025-01-16 18:51:47.942244+00:00
on,2025-01-16 21:40:07.476809+00:00
off,2025-01-16 22:10:19.554550+00:00
on,2025-01-17 12:44:50.186174+00:00
off,2025-01-17 15:27:45.791509+00:00
