state,date
off,2025-02-17 10:51:06.706728+00:00
on,2025-02-17 11:09:11.610010+00:00
off,2025-02-17 11:45:21.420630+00:00
on,2025-02-17 12:03:26.398840+00:00
off,2025-02-17 12:27:32.991199+00:00
on,2025-02-17 12:45:37.938763+00:00
off,2025-02-17 13:15:46.127907+00:00
on,2025-02-17 13:33:51.101007+00:00
off,2025-02-17 14:16:02.630928+00:00
on,2025-02-17 14:40:09.225644+00:00
off,2025-02-17 14:58:14.229098+00:00
on,2025-02-17 15:16:19.033476+00:00
off,2025-02-17 15:28:22.380497+00:00
on,2025-02-17 15:46:27.275213+00:00
off,2025-02-17 16:10:33.965645+00:00
on,2025-02-17 16:22:37.210170+00:00
off,2025-02-17 16:40:42.220793+00:00
on,2025-02-17 16:58:47.135552+00:00
off,2025-02-17 17:28:55.384088+00:00
on,2025-02-17 17:47:00.249202+00:00
off,2025-02-17 18:00:00.009999+00:00
on,2025-02-17 20:47:52.590194+00:00
off,2025-02-17 20:59:18.752425+00:00
on,2025-02-17 22:11:40.182002+00:00
off,2025-02-17 22:22:59.584866+00:00
on,2025-02-18 00:11:32.006234+00:00
off,2025-02-18 00:23:35.629656+00:00
on,2025-02-18 01:48:00.935284+00:00
off,2025-02-18 02:00:04.505080+00:00
on,2025-02-18 03:12:26.444288+00:00
off,2025-02-18 03:24:14.640492+00:00
on,2025-02-18 04:24:32.854877+00:00
off,2025-02-18 04:36:36.508964+00:00
on,2025-02-18 05:42:56.426548+00:00
off,2025-02-18 05:55:00.114588+00:00
on,2025-02-18 06:00:00.008009+00:00
off,2025-02-18 06:12:32.833380+00:00
on,2025-02-18 06:42:41.698203+00:00
off,2025-02-18 06:54:18.138199+00:00
on,2025-02-18 07:24:26.970882+00:00
off,2025-02-18 07:35:58.388595+00:00
on,2025-02-18 08:06:07.232306+00:00
off,2025-02-18 08:18:10.788669+00:00
on,2025-02-18 08:42:17.746087+00:00
off,2025-02-18 08:54:21.297750+00:00
on,2025-02-18 09:24:30.038440+00:00
off,2025-02-18 09:36:33.554552+00:00
on,2025-02-18 10:06:42.364749+00:00
off,2025-02-18 10:18:45.923526+00:00
on,2025-02-18 10:42:52.982280+00:00
off,2025-02-18 10:54:56.493025+00:00
on,2025-02-18 11:25:05.326773+00:00
off,2025-02-18 11:37:08.898228+00:00
on,2025-02-18 12:01:15.946530+00:00
off,2025-02-18 12:13:19.474772+00:00
on,2025-02-18 12:43:28.256678+00:00
off,2025-02-18 12:55:31.807475+00:00
on,2025-02-18 13:25:40.610541+00:00
off,2025-02-18 13:37:44.134078+00:00
on,2025-02-18 14:13:54.674594+00:00
off,2025-02-18 14:25:58.183538+00:00
on,2025-02-18 14:56:06.912476+00:00
off,2025-02-18 15:08:10.440120+00:00
on,2025-02-18 15:44:21.024970+00:00
off,2025-02-18 15:56:24.574827+00:00
on,2025-02-18 16:06:08.814250+00:00
off,2025-02-18 16:56:41.566951+00:00
on,2025-02-18 18:51:14.167819+00:00
off,2025-02-18 19:02:43.722919+00:00
on,2025-02-18 19:44:56.071923+00:00
off,2025-02-18 19:56:59.629486+00:00
on,2025-02-18 20:45:13.777591+00:00
off,2025-02-18 20:56:46.345751+00:00
on,2025-02-18 21:38:58.772783+00:00
off,2025-02-18 21:50:50.598015+00:00
on,2025-02-18 22:27:01.249745+00:00
off,2025-02-18 22:39:04.810505+00:00
on,2025-02-19 00:33:38.792877+00:00
off,2025-02-19 00:45:17.419106+00:00
on,2025-02-19 01:57:39.064786+00:00
off,2025-02-19 02:08:58.506957+00:00
on,2025-02-19 03:09:16.645614+00:00
off,2025-02-19 03:21:20.311659+00:00
on,2025-02-19 04:27:40.328334+00:00
off,2025-02-19 04:39:43.995864+00:00
on,2025-02-19 05:40:02.109465+00:00
off,2025-02-19 05:51:21.433917+00:00
on,2025-02-19 06:00:00.014510+00:00
off,2025-02-19 06:09:26.763950+00:00
on,2025-02-19 06:33:33.794751+00:00
off,2025-02-19 06:45:10.456158+00:00
on,2025-02-19 07:15:19.289668+00:00
off,2025-02-19 07:26:50.687811+00:00
on,2025-02-19 07:56:59.455937+00:00
off,2025-02-19 08:09:03.006029+00:00
on,2025-02-19 08:45:13.600603+00:00
off,2025-02-19 08:56:40.809174+00:00
on,2025-02-19 09:32:51.414202+00:00
off,2025-02-19 09:44:10.243699+00:00
on,2025-02-19 10:20:20.809157+00:00
off,2025-02-19 10:31:34.536984+00:00
on,2025-02-19 11:07:45.135157+00:00
off,2025-02-19 11:19:48.725883+00:00
on,2025-02-19 12:02:00.964122+00:00
off,2025-02-19 12:14:04.495435+00:00
on,2025-02-19 13:02:18.614407+00:00
off,2025-02-19 13:14:17.367881+00:00
on,2025-02-19 14:02:31.354255+00:00
off,2025-02-19 14:14:34.884059+00:00
on,2025-02-19 14:56:47.160989+00:00
off,2025-02-19 15:08:50.646587+00:00
on,2025-02-19 15:57:04.783786+00:00
off,2025-02-19 16:09:08.294527+00:00
on,2025-02-19 16:57:22.222684+00:00
off,2025-02-19 17:00:00.008915+00:00
on,2025-02-19 18:51:56.502895+00:00
off,2025-02-19 19:04:00.160289+00:00
on,2025-02-19 20:40:29.021760+00:00
off,2025-02-19 20:52:32.715829+00:00
on,2025-02-19 22:22:59.935242+00:00
off,2025-02-19 22:35:03.520409+00:00
on,2025-02-19 23:59:28.957737+00:00
off,2025-02-20 00:11:32.558450+00:00
on,2025-02-20 01:35:58.055542+00:00
off,2025-02-20 01:47:56.179411+00:00
on,2025-02-20 03:06:19.571038+00:00
