temperature,date
18.8,2025-02-17 10:27:00.204391+00:00
19,2025-02-17 10:45:05.031330+00:00
19.4,2025-02-17 10:51:06.702667+00:00
19.2,2025-02-17 10:57:08.333318+00:00
19,2025-02-17 11:03:09.969113+00:00
18.6,2025-02-17 11:09:11.607365+00:00
18.4,2025-02-17 11:15:13.211220+00:00
18.6,2025-02-17 11:21:14.901674+00:00
19,2025-02-17 11:27:16.544894+00:00
19.2,2025-02-17 11:45:21.416507+00:00
19.4,2025-02-17 11:51:23.097263+00:00
19,2025-02-17 11:57:24.730680+00:00
18.6,2025-02-17 12:03:26.395506+00:00
18.4,2025-02-17 12:09:28.042155+00:00
18.6,2025-02-17 12:15:29.696507+00:00
18.8,2025-02-17 12:21:31.350774+00:00
19.4,2025-02-17 12:27:32.988456+00:00
19,2025-02-17 12:39:36.284190+00:00
18.4,2025-02-17 12:45:37.936091+00:00
18.2,2025-02-17 12:51:39.611249+00:00
18.6,2025-02-17 12:57:41.270417+00:00
18.8,2025-02-17 13:03:42.909077+00:00
19,2025-02-17 13:09:44.544119+00:00
19.2,2025-02-17 13:15:46.123663+00:00
19,2025-02-17 13:27:49.436684+00:00
18.6,2025-02-17 13:33:51.096646+00:00
18.4,2025-02-17 13:39:52.759194+00:00
18.6,2025-02-17 13:45:54.366281+00:00
18.8,2025-02-17 13:57:57.724654+00:00
19,2025-02-17 14:10:01.029408+00:00
19.2,2025-02-17 14:16:02.627613+00:00
19.4,2025-02-17 14:22:04.309664+00:00
19.2,2025-02-17 14:28:05.935274+00:00
19,2025-02-17 14:34:07.578964+00:00
18.6,2025-02-17 14:40:09.222893+00:00
18.8,2025-02-17 14:52:12.543342+00:00
19.2,2025-02-17 14:58:14.226967+00:00
19.4,2025-02-17 15:04:15.797709+00:00
19,2025-02-17 15:10:17.427745+00:00
18.6,2025-02-17 15:16:19.030870+00:00
18.4,2025-02-17 15:22:20.735470+00:00
19.2,2025-02-17 15:28:22.377973+00:00
19.4,2025-02-17 15:34:24.013518+00:00
19,2025-02-17 15:40:25.613096+00:00
18.6,2025-02-17 15:46:27.272214+00:00
