date,temperature_2m,cloud_cover,is_day,direct_radiation
2025-02-16 23:00:00+00:00,0.014999997,100.0,0.0,0.0
2025-02-17 00:00:00+00:00,-0.185,7.0,0.0,0.0
2025-02-17 01:00:00+00:00,-0.485,100.0,0.0,0.0
2025-02-17 02:00:00+00:00,-0.635,100.0,0.0,0.0
2025-02-17 03:00:00+00:00,-1.135,100.0,0.0,0.0
2025-02-17 04:00:00+00:00,-1.335,88.0,0.0,0.0
2025-02-17 05:00:00+00:00,-1.635,96.0,0.0,0.0
2025-02-17 06:00:00+00:00,-2.185,42.0,0.0,0.0
2025-02-17 07:00:00+00:00,-2.335,67.0,1.0,0.0
2025-02-17 08:00:00+00:00,-2.185,0.0,1.0,24.25
2025-02-17 09:00:00+00:00,-0.735,0.0,1.0,124.75
2025-02-17 10:00:00+00:00,0.715,0.0,1.0,239.25
2025-02-17 11:00:00+00:00,2.315,0.0,1.0,330.25
2025-02-17 12:00:00+00:00,4.215,0.0,1.0,379.25
2025-02-17 13:00:00+00:00,5.165,0.0,1.0,382.5
2025-02-17 14:00:00+00:00,5.8650002,10.0,1.0,336.0
2025-02-17 15:00:00+00:00,5.965,67.0,1.0,242.5
2025-02-17 16:00:00+00:00,5.6150002,47.0,1.0,114.0
2025-02-17 17:00:00+00:00,4.3650002,81.0,1.0,22.25
2025-02-17 18:00:00+00:00,2.815,39.0,0.0,0.0
2025-02-17 19:00:00+00:00,2.115,0.0,0.0,0.0
2025-02-17 20:00:00+00:00,1.4649999,0.0,0.0,0.0
2025-02-17 21:00:00+00:00,0.865,31.0,0.0,0.0
2025-02-17 22:00:00+00:00,0.315,20.0,0.0,0.0
2025-02-17 23:00:00+00:00,-0.285,35.0,0.0,0.0
2025-02-18 00:00:00+00:00,-0.685,89.0,0.0,0.0
2025-02-18 01:00:00+00:00,-0.935,100.0,0.0,0.0
2025-02-18 02:00:00+00:00,-1.2349999,100.0,0.0,0.0
2025-02-18 03:00:00+00:00,-1.635,100.0,0.0,0.0
2025-02-18 04:00:00+00:00,-1.7349999,92.0,0.0,0.0
2025-02-18 05:00:00+00:00,-2.185,79.0,0.0,0.0
2025-02-18 06:00:00+00:00,-2.085,96.0,0.0,0.0
2025-02-18 07:00:00+00:00,-2.185,100.0,1.0,0.0
2025-02-18 08:00:00+00:00,-1.935,100.0,1.0,6.75
